acousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.816,0.408,165687,0.304,0.0,5,0.0831,-11.164,1,0.0411,109.169,4,0.0935
0.059,0.597,56331,0.818,0.0,8,0.0905,-4.91,1,0.0812,156.922,4,0.758
0.0144,0.507,213338,0.665,0.0,0,0.0759,-7.598,1,0.0474,126.879,4,0.4
0.0601,0.809,349080,0.399,0.003,0,0.0531,-14.58,0,0.0349,108.078,4,0.722
0.0185,0.703,207408,0.851,0.000244,7,0.102,-6.813,1,0.353,203.988,4,0.879
0.201,0.542,204653,0.599,0.0,9,0.0486,-6.281,0,0.0276,117.993,4,0.394
0.0144,0.818,204957,0.769,0.000122,11,0.0767,-5.761,0,0.271,125.944,4,0.622
0.881,0.276,259307,0.0652,0.0,9,0.102,-12.904,1,0.036,55.747,4,0.0987
0.00583,0.533,209613,0.753,0.00556,0,0.103,-5.599,1,0.0361,137.959,4,0.328
0.0624,0.531,122025,0.767,5.7e-5,8,0.164,-4.774,1,0.0581,148.022,4,0.837
0.171,0.624,215787,0.68,9.09e-6,10,0.0803,-8.143,1,0.156,107.358,4,0.612
0.135,0.786,219333,0.868,0.0,1,0.218,-5.503,1,0.3,140.024,4,0.771
0.00213,0.733,293543,0.543,0.000169,1,0.0703,-10.002,1,0.0445,106.019,4,0.118
0.393,0.538,266680,0.718,0.0,0,0.636,-8.157,1,0.052,152.039,4,0.787
6.64e-5,0.34,233693,0.973,0.813,1,0.319,-3.599,0,0.248,114.078,4,0.165
0.116,0.772,249133,0.805,0.000349,5,0.0759,-8.363,0,0.0848,122.95,4,0.657
0.994,0.615,87573,0.21,0.91,9,0.113,-19.798,0,0.0534,86.106,4,0.827
3.11e-5,0.444,202307,0.995,2.03e-6,7,0.19,-2.097,1,0.171,79.999,5,0.285
0.921,0.513,268587,0.45,0.86,9,0.313,-11.219,0,0.0296,142.399,4,0.261
0.311,0.52,223200,0.84,0.879,2,0.0698,-9.143,1,0.0287,164.982,4,0.603
0.142,0.768,247040,0.768,0.0,0,0.0664,-6.699,1,0.253,136.943,4,0.465
0.00484,0.419,165013,0.615,7.03e-6,2,0.13,-8.56,1,0.197,144.937,4,0.38
0.441,0.737,111422,0.516,3.47e-5,2,0.122,-8.023,1,0.0411,117.027,4,0.532
0.15,0.746,214907,0.848,2.18e-6,2,0.37,-4.638,1,0.0331,138.047,4,0.756
0.491,0.655,237013,0.405,0.000411,7,0.0664,-15.219,1,0.036,82.218,4,0.841
0.821,0.541,211426,0.193,0.0,0,0.0999,-11.957,1,0.0433,117.47,3,0.533
0.112,0.561,226400,0.702,0.000384,0,0.384,-5.922,1,0.0313,124.943,4,0.64
0.276,0.568,210053,0.654,8.12e-6,8,0.321,-7.603,1,0.567,76.987,4,0.322
0.000199,0.603,337228,0.754,0.862,7,0.874,-10.345,1,0.0378,123.029,4,0.0374
0.768,0.576,168987,0.376,3.03e-5,10,0.0986,-13.825,1,0.139,112.091,3,0.513
0.284,0.692,211013,0.886,0.0,1,0.341,-2.519,1,0.0519,100.03,4,0.879
0.808,0.426,161173,0.619,0.0,9,0.11,-6.751,1,0.0768,148.188,4,0.362
0.0689,0.727,184960,0.932,6.02e-6,8,0.153,-5.117,0,0.0452,92.016,4,0.896
0.741,0.739,249920,0.249,0.728,0,0.122,-10.648,0,0.0478,130.818,4,0.474
0.714,0.332,182640,0.527,0.0,2,0.249,-6.788,0,0.0452,77.312,4,0.367
0.733,0.704,81760,0.745,0.0,1,0.261,-5.643,0,0.142,133.971,3,0.654
0.000961,0.685,250053,0.893,0.000379,1,0.324,-3.586,1,0.0646,131.006,4,0.438
0.984,0.274,320293,0.0591,0.665,5,0.156,-22.027,0,0.0484,89.426,4,0.0765
0.00446,0.731,179467,0.95,3.64e-5,2,0.362,-2.705,1,0.0516,135.081,4,0.249
0.775,0.499,223947,0.74,0.883,2,0.0812,-9.633,1,0.029,165.002,4,0.531
0.00422,0.792,202963,0.454,0.0,9,0.285,-6.753,1,0.458,161.993,4,0.674
0.0385,0.297,170107,0.613,3.98e-5,9,0.0734,-9.065,1,0.0931,170.962,4,0.338
0.0141,0.602,234333,0.81,7.66e-6,7,0.324,-4.653,1,0.286,156.325,4,0.275
0.00419,0.588,209973,0.909,0.00129,1,0.243,-4.113,1,0.0704,159.019,4,0.743
0.887,0.389,214067,0.13,0.326,2,0.086,-22.814,1,0.0367,83.679,4,0.529
0.0435,0.652,220571,0.75,0.0,10,0.188,-5.589,1,0.0339,94.515,4,0.465
0.506,0.632,191138,0.453,0.0,7,0.118,-6.887,1,0.0322,97.108,3,0.239
0.877,0.697,207893,0.0933,0.0,2,0.113,-14.287,1,0.0447,118.818,4,0.213
